Director,Hits,Flops,Total,Hit Rate %
Quentin Tarantino,6,0,6,100.0
Francis Lawrence,6,0,6,100.0
David Yates,6,0,6,100.0
Andrew Adamson,5,0,5,100.0
Jon Turteltaub,5,0,5,100.0
Woody Allen,11,0,11,100.0
David Fincher,6,0,6,100.0
Nicholas Stoller,5,0,5,100.0
Peter Jackson,8,0,8,100.0
Steven Spielberg,12,0,12,100.0
Bryan Singer,7,0,7,100.0
Alejandro González Iñárritu,6,0,6,100.0
Joel Coen,8,0,8,100.0
Peter Segal,6,0,6,100.0
James Mangold,6,0,6,100.0
Kunihiko Yuyama,5,0,5,100.0
John Singleton,5,0,5,100.0
Malcolm D. Lee,5,0,5,100.0
Anne Fletcher,5,0,5,100.0
Christopher Nolan,9,0,9,100.0
J.J. Abrams,5,0,5,100.0
Michael Bay,10,0,10,100.0
Raja Gosnell,7,0,7,100.0
Brett Ratner,7,0,7,100.0
Zack Snyder,7,0,7,100.0
Ridley Scott,14,0,14,100.0
F. Gary Gray,6,0,6,100.0
Antoine Fuqua,9,0,9,100.0
Nancy Meyers,5,0,5,100.0
Jaume Collet-Serra,6,0,6,100.0
Robert Zemeckis,8,0,8,100.0
Adam McKay,6,0,6,100.0
Andy Fickman,6,0,6,100.0
Tim Story,8,0,8,100.0
Tim Burton,9,1,10,90.0
Shawn Levy,9,1,10,90.0
Todd Phillips,8,1,9,88.88888888888889
M. Night Shyamalan,8,1,9,88.88888888888889
Tyler Perry,8,1,9,88.88888888888889
Dennis Dugan,7,1,8,87.5
Peter Berg,7,1,8,87.5
Adam Shankman,7,1,8,87.5
Paul W.S. Anderson,7,1,8,87.5
James Wan,6,1,7,85.71428571428571
Guillermo del Toro,6,1,7,85.71428571428571
Timur Bekmambetov,6,1,7,85.71428571428571
Louis Leterrier,6,1,7,85.71428571428571
Clint Eastwood,12,2,14,85.71428571428571
Jon M. Chu,5,1,6,83.33333333333334
McG,5,1,6,83.33333333333334
Wes Anderson,5,1,6,83.33333333333334
Sam Mendes,5,1,6,83.33333333333334
Doug Liman,5,1,6,83.33333333333334
Oliver Stone,5,1,6,83.33333333333334
Robert Schwentke,5,1,6,83.33333333333334
Sam Raimi,5,1,6,83.33333333333334
Steve Carr,5,1,6,83.33333333333334
Tony Scott,5,1,6,83.33333333333334
Justin Lin,5,1,6,83.33333333333334
Bill Condon,5,1,6,83.33333333333334
Jason Reitman,5,1,6,83.33333333333334
David Ayer,5,1,6,83.33333333333334
Jay Roach,5,1,6,83.33333333333334
Garry Marshall,5,1,6,83.33333333333334
Edward Zwick,5,1,6,83.33333333333334
David Dobkin,4,1,5,80.0
John Woo,4,1,5,80.0
Donald Petrie,4,1,5,80.0
John Moore,4,1,5,80.0
Rob Minkoff,4,1,5,80.0
Peyton Reed,4,1,5,80.0
Ang Lee,4,1,5,80.0
Pedro Almodóvar,4,1,5,80.0
Lasse Hallström,8,2,10,80.0
Lee Tamahori,4,1,5,80.0
Jason Friedberg,4,1,5,80.0
Judd Apatow,4,1,5,80.0
David R. Ellis,4,1,5,80.0
Edgar Wright,4,1,5,80.0
Henry Joost,4,1,5,80.0
David Twohy,4,1,5,80.0
Matthew Vaughn,4,1,5,80.0
Jonathan Levine,4,1,5,80.0
Nick Cassavetes,4,1,5,80.0
Frank Coraci,4,1,5,80.0
Simon West,4,1,5,80.0
Martin Campbell,4,1,5,80.0
Ken Kwapis,4,1,5,80.0
George Clooney,4,1,5,80.0
Rob Marshall,4,1,5,80.0
Eli Roth,4,1,5,80.0
Barry Sonnenfeld,4,1,5,80.0
Mike Mitchell,4,1,5,80.0
Tarsem Singh,4,1,5,80.0
Danny Boyle,7,2,9,77.77777777777779
Bobby Farrelly,7,2,9,77.77777777777779
Ron Howard,7,2,9,77.77777777777779
Marc Forster,6,2,8,75.0
Mark Waters,6,2,8,75.0
Jon Favreau,6,2,8,75.0
Roland Emmerich,6,2,8,75.0
Robert Rodriguez,8,3,11,72.72727272727273
Kevin Smith,5,2,7,71.42857142857143
Guy Ritchie,5,2,7,71.42857142857143
Paul Greengrass,5,2,7,71.42857142857143
Robert Luketic,5,2,7,71.42857142857143
D.J. Caruso,5,2,7,71.42857142857143
Martin Scorsese,5,2,7,71.42857142857143
Rob Cohen,5,2,7,71.42857142857143
David Frankel,4,2,6,66.66666666666666
Luc Besson,4,2,6,66.66666666666666
Kevin Macdonald,4,2,6,66.66666666666666
Joe Wright,4,2,6,66.66666666666666
Gore Verbinski,6,3,9,66.66666666666666
Zhang Yimou,4,2,6,66.66666666666666
Chris Columbus,4,2,6,66.66666666666666
Steven Soderbergh,10,5,15,66.66666666666666
Darren Aronofsky,3,2,5,60.0
Andrew Niccol,3,2,5,60.0
Michael Mann,3,2,5,60.0
Roman Polanski,3,2,5,60.0
Gavin Hood,3,2,5,60.0
Rob Zombie,3,2,5,60.0
Denis Villeneuve,3,2,5,60.0
Michael Haneke,3,2,5,60.0
Tom Tykwer,3,2,5,60.0
Wes Craven,3,2,5,60.0
Andrzej Bartkowiak,3,2,5,60.0
Nicolas Winding Refn,3,2,5,60.0
John Lee Hancock,3,2,5,60.0
Roger Donaldson,3,2,5,60.0
David Bowers,3,2,5,60.0
Gavin O'Connor,3,2,5,60.0
David Cronenberg,3,2,5,60.0
John Madden,4,3,7,57.14285714285714
Stephen Frears,4,3,7,57.14285714285714
Richard Linklater,6,5,11,54.54545454545454
Joel Schumacher,3,3,6,50.0
Peter Chelsom,3,3,6,50.0
Michel Gondry,3,3,6,50.0
Brian Robbins,3,3,6,50.0
Rob Reiner,3,4,7,42.857142857142854
Gus Van Sant,3,4,7,42.857142857142854
Neil LaBute,2,3,5,40.0
Cameron Crowe,2,3,5,40.0
Kenneth Branagh,2,3,5,40.0
Terrence Malick,2,3,5,40.0
Roger Michell,2,4,6,33.33333333333333
Lars von Trier,2,4,6,33.33333333333333
Paul Weitz,2,4,6,33.33333333333333
Park Chan-wook,2,4,6,33.33333333333333
Renny Harlin,2,6,8,25.0
David Gordon Green,2,6,8,25.0
Spike Lee,1,4,5,20.0
Barry Levinson,1,4,5,20.0
Kim Ki-duk,1,4,5,20.0
Davis Guggenheim,1,4,5,20.0
Dito Montiel,1,4,5,20.0
Mira Nair,1,4,5,20.0
Noah Baumbach,1,4,5,20.0
Brad Anderson,1,5,6,16.666666666666664
David Mackenzie,1,5,6,16.666666666666664
Ben Wheatley,0,6,6,0.0
