Keyword,Hits,Flops,Total,Hit Rate %
imax,21,2,23,91.30434782608695
secret identity,20,2,22,90.9090909090909
marvel comic,38,4,42,90.47619047619048
mission,18,2,20,90.0
3d,95,12,107,88.78504672897196
saving the world,20,3,23,86.95652173913044
sequel,92,14,106,86.79245283018868
secret agent,19,3,22,86.36363636363636
based on young adult novel,35,6,41,85.36585365853658
holiday,22,4,26,84.61538461538461
based on comic,53,12,65,81.53846153846153
robot,21,5,26,80.76923076923077
aftercreditsstinger,125,30,155,80.64516129032258
spy,25,6,31,80.64516129032258
magic,44,11,55,80.0
witch,24,6,30,80.0
single,16,4,20,80.0
orphan,20,5,25,80.0
daughter,39,10,49,79.59183673469387
superhero,53,14,67,79.1044776119403
fbi agent,25,7,32,78.125
romantic comedy,25,7,32,78.125
hero,21,6,27,77.77777777777779
monster,28,8,36,77.77777777777779
cia,31,9,40,77.5
found footage,27,8,35,77.14285714285715
children,20,6,26,76.92307692307693
demon,19,6,25,76.0
undercover,22,7,29,75.86206896551724
rescue,28,9,37,75.67567567567568
duringcreditsstinger,240,79,319,75.23510971786834
parent child relationship,18,6,24,75.0
alien,47,16,63,74.60317460317461
los angeles,38,13,51,74.50980392156863
conspiracy,23,8,31,74.19354838709677
love of one's life,25,9,34,73.52941176470588
animation,22,8,30,73.33333333333333
wedding,41,15,56,73.21428571428571
christmas,19,7,26,73.07692307692307
amnesia,16,6,22,72.72727272727273
gangster,24,9,33,72.72727272727273
england,16,6,22,72.72727272727273
fight,34,13,47,72.3404255319149
based on play or musical,15,6,21,71.42857142857143
scientist,25,10,35,71.42857142857143
killer,15,6,21,71.42857142857143
remake,41,17,58,70.6896551724138
motorcycle,14,6,20,70.0
based on tv series,14,6,20,70.0
time travel,23,10,33,69.6969696969697
rivalry,22,10,32,68.75
supernatural,22,10,32,68.75
hospital,35,16,51,68.62745098039215
assassin,28,13,41,68.29268292682927
dystopia,71,33,104,68.26923076923077
terror,15,7,22,68.18181818181817
explosion,19,9,28,67.85714285714286
lawyer,21,10,31,67.74193548387096
fairy tale,14,7,21,66.66666666666666
young adult,14,7,21,66.66666666666666
battle,16,8,24,66.66666666666666
ghost,22,11,33,66.66666666666666
father son relationship,46,23,69,66.66666666666666
assassination,14,7,21,66.66666666666666
obsession,16,8,24,66.66666666666666
divorce,24,12,36,66.66666666666666
vampire,29,15,44,65.9090909090909
airplane,27,14,41,65.85365853658537
based on video game,19,10,29,65.51724137931035
sister sister relationship,19,10,29,65.51724137931035
space,17,9,26,65.38461538461539
author,15,8,23,65.21739130434783
bollywood,15,8,23,65.21739130434783
super powers,15,8,23,65.21739130434783
alcoholic,13,7,20,65.0
mountain,13,7,20,65.0
drug dealer,16,9,25,64.0
based on novel,133,76,209,63.63636363636363
relationship,21,12,33,63.63636363636363
lie,14,8,22,63.63636363636363
ship,14,8,22,63.63636363636363
faith,19,11,30,63.33333333333333
fbi,19,11,30,63.33333333333333
shootout,17,10,27,62.96296296296296
island,17,10,27,62.96296296296296
blackmail,17,10,27,62.96296296296296
future,27,16,43,62.7906976744186
father daughter relationship,18,11,29,62.06896551724138
secret,26,16,42,61.904761904761905
escape,26,16,42,61.904761904761905
dying and death,34,21,55,61.81818181818181
martial arts,32,20,52,61.53846153846154
friendship,63,40,103,61.165048543689316
detective,22,14,36,61.111111111111114
journalist,22,14,36,61.111111111111114
california,14,9,23,60.86956521739131
hostage,14,9,23,60.86956521739131
heist,14,9,23,60.86956521739131
high school,42,27,69,60.86956521739131
baby,14,9,23,60.86956521739131
competition,17,11,28,60.71428571428571
jealousy,20,13,33,60.60606060606061
dog,23,15,38,60.526315789473685
1980s,12,8,20,60.0
deception,12,8,20,60.0
father,12,8,20,60.0
crime,15,10,25,60.0
war,24,16,40,60.0
hotel,19,13,32,59.375
flashback,19,13,32,59.375
criminal,16,11,27,59.25925925925925
chase,13,9,22,59.09090909090909
teenage girl,13,9,22,59.09090909090909
blood,23,16,39,58.97435897435898
road trip,20,14,34,58.82352941176471
family,47,33,80,58.75
brother sister relationship,17,12,29,58.620689655172406
forest,17,12,29,58.620689655172406
london england,34,24,58,58.620689655172406
new love,17,12,29,58.620689655172406
brother brother relationship,24,17,41,58.536585365853654
violence,79,56,135,58.51851851851851
neighbor,14,10,24,58.333333333333336
death,28,20,48,58.333333333333336
best friend,25,18,43,58.139534883720934
corruption,23,17,40,57.49999999999999
zombie,20,15,35,57.14285714285714
friends,24,18,42,57.14285714285714
bar,12,9,21,57.14285714285714
post-apocalyptic,16,12,28,57.14285714285714
usa president,12,9,21,57.14285714285714
investigation,25,19,44,56.81818181818182
anime,13,10,23,56.52173913043478
musical,39,30,69,56.52173913043478
survival,22,17,39,56.41025641025641
gang,18,14,32,56.25
hitman,18,14,32,56.25
kidnapping,36,28,64,56.25
paris,28,22,50,56.00000000000001
police,39,31,70,55.714285714285715
teenager,49,39,88,55.68181818181818
coming of age,15,12,27,55.55555555555556
beach,15,12,27,55.55555555555556
sport,58,47,105,55.23809523809524
adoption,11,9,20,55.00000000000001
alcohol,22,18,40,55.00000000000001
marriage,28,23,51,54.90196078431373
torture,18,15,33,54.54545454545454
new york city,25,21,46,54.347826086956516
based on true story,38,32,70,54.285714285714285
funeral,13,11,24,54.166666666666664
mother daughter relationship,16,14,30,53.333333333333336
music,17,15,32,53.125
world war ii,27,24,51,52.94117647058824
party,27,24,51,52.94117647058824
gore,19,17,36,52.77777777777778
revenge,58,52,110,52.72727272727272
male female relationship,12,11,23,52.17391304347826
gun,12,11,23,52.17391304347826
wife husband relationship,26,24,50,52.0
psychopath,14,13,27,51.85185185185185
love,59,55,114,51.75438596491229
terrorist,15,14,29,51.724137931034484
car crash,15,14,29,51.724137931034484
prostitute,16,15,31,51.61290322580645
money,20,19,39,51.28205128205128
murder,79,77,156,50.641025641025635
marijuana,11,11,22,50.0
family relationships,15,15,30,50.0
thief,10,10,20,50.0
extramarital affair,14,14,28,50.0
school,14,14,28,50.0
snow,10,10,20,50.0
dream,19,20,39,48.717948717948715
drug,34,36,70,48.57142857142857
teacher,16,17,33,48.484848484848484
1970s,16,17,33,48.484848484848484
writer,13,14,27,48.148148148148145
serial killer,23,25,48,47.91666666666667
based on true events,11,12,23,47.82608695652174
suspense,32,35,67,47.76119402985074
new york,30,33,63,47.61904761904761
biography,61,72,133,45.86466165413533
romance,15,18,33,45.45454545454545
nazis,9,11,20,45.0
cancer,9,11,20,45.0
police officer,9,11,20,45.0
student,16,20,36,44.44444444444444
robbery,19,24,43,44.18604651162791
female nudity,26,33,59,44.06779661016949
rape,20,26,46,43.47826086956522
love triangle,10,13,23,43.47826086956522
comedy,11,15,26,42.30769230769231
pregnancy,10,14,24,41.66666666666667
gay,15,21,36,41.66666666666667
nudity,27,38,65,41.53846153846154
doctor,12,17,29,41.37931034482759
adultery,12,17,29,41.37931034482759
prison,18,27,45,40.0
soldier,10,15,25,40.0
sex,40,60,100,40.0
male nudity,13,20,33,39.39393939393939
suicide,20,31,51,39.21568627450981
college,14,22,36,38.88888888888889
dark comedy,11,18,29,37.93103448275862
politics,9,15,24,37.5
france,10,17,27,37.03703703703704
small town,11,19,30,36.666666666666664
homosexuality,7,13,20,35.0
woman director,121,226,347,34.87031700288185
infidelity,12,26,38,31.57894736842105
independent film,42,182,224,18.75
