feature,importance
roi,0.4074286760178827
revenue,0.3421222234777012
vote_count,0.07408259812040412
budget_final,0.06669649757522167
popularity,0.02565517312495034
cast_size,0.01611649187319986
crew_size,0.010806648541114058
runtime,0.009703056114991454
num_keywords,0.00634455810467293
num_producers,0.005842997556863648
vote_average,0.004858538945846834
release_year,0.004832627548367579
lead_actor_1,0.004231899634897981
lead_actor_3,0.003982120995469138
lead_actor_2,0.00337678011366118
director,0.002946964144908032
num_production_companies,0.0029341624032858658
release_month,0.0023864814399298254
num_genres,0.0020482120792153623
release_day_of_week,0.0016181201721712246
release_season,0.0010838208180150096
num_writers,0.0009013511972299679
